County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Gini.Coefficient,Teen.births,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,target
"Jefferson County, New York",New York,12.2,87.8,20.2,8.5,65.7,"(25000.0, 30000.0]",28.95,21.2,26.15,0.7000000000000001,10.75,12.25,86.25,4.65,0.4,1.25,2.55,24.5,10.7,116912,0.42,44.7,0.26,0.29,0.08700000000000001,477.5,358.2,0.11,0.10099999999999999,176.22,2.76,46.6,6.4,41.0,14.5,22.35064063275253
"Wagoner County, Oklahoma",Oklahoma,12.1,87.9,20.8,5.0,77.2,"(30000.0, 40000.0]",29.95,14.95,26.4,0.35000000000000003,12.6,15.7,75.2,3.85,9.05,1.1,6.4,19.05,6.5,70027,0.391,35.3,0.217,0.315,0.13,129.6,31.0,0.18899999999999997,0.054000000000000006,266.86,4.6,76.7,7.1,42.7,11.6,52.02585930999169
"Unicoi County, Tennessee",Tennessee,25.3,74.7,12.2,4.0,78.5,"(25000.0, 30000.0]",28.5,19.95,18.05,0.65,10.8,22.05,95.05,0.5,0.45,0.1,0.5,35.5,14.05,17999,0.456,44.4,0.23399999999999999,0.314,0.121,213.3,56.2,0.17500000000000002,0.092,170.43,,85.4,,36.1,18.25,61.48478928272397
"Henry County, Virginia",Virginia,27.7,72.3,10.9,3.8,70.8,"(20000.0, 25000.0]",23.3,14.95,23.85,0.4,9.3,28.25,70.6,21.95,0.05,0.45,1.3,36.65,12.9,54815,0.433,55.2,0.257,0.303,0.131,379.6,107.2,0.19899999999999998,0.099,285.04,9.84,103.1,11.3,34.6,17.15,29.16475924924049
"Emporia city, Virginia",Virginia,28.4,71.6,15.4,7.9,69.9,"(20000.0, 25000.0]",33.75,21.6,20.3,1.6,4.65,18.05,32.25,62.2,0.1,0.45,0.9,38.5,20.3,5766,0.491,51.3,,0.336,0.131,1141.2,497.2,0.162,0.11599999999999999,659.58,,96.2,,49.2,23.25,-31.22095479509928
"Hampton city, Virginia",Virginia,11.4,88.6,21.8,8.2,72.15,"(25000.0, 30000.0]",31.5,16.5,26.4,0.2,11.8,13.65,43.05,47.6,0.35000000000000003,2.15,2.7,18.8,8.2,141669,0.39299999999999996,37.4,0.191,0.365,0.12,1131.2,480.4,0.139,0.078,288.08,8.6,48.0,10.2,39.8,12.75,-37.7758623493633
"Hubbard County, Minnesota",Minnesota,8.9,91.1,23.3,7.2,73.15,"(20000.0, 25000.0]",32.25,15.85,23.45,2.15,11.35,14.95,94.35,0.15,2.35,0.15,1.7000000000000002,25.4,7.0,19551,0.429,31.8,0.16699999999999998,0.28600000000000003,0.09300000000000001,69.0,,0.119,0.083,100.16,,71.2,,38.7,11.95,33.59012518602819
"Craven County, North Carolina",North Carolina,12.5,87.5,21.3,7.1,62.55,"(25000.0, 30000.0]",30.05,19.1,24.4,0.65,12.9,12.85,68.3,22.65,0.35000000000000003,1.65,2.15,26.6,10.05,100147,0.445,62.1,0.221,0.319,0.122,773.0,341.0,0.187,0.09699999999999999,329.61,6.83,64.7,7.5,38.9,15.45,21.79273647552509
"Howard County, Nebraska",Nebraska,9.1,90.9,13.9,4.2,83.6,"(25000.0, 30000.0]",29.9,13.1,24.3,3.3,11.05,18.35,96.95,0.30000000000000004,0.2,0.2,0.65,14.25,10.9,6366,0.391,18.5,0.131,0.315,0.092,141.9,,0.134,0.033,,,73.0,,48.5,11.3,58.82352941176471
"Clayton County, Iowa",Iowa,9.8,90.2,14.9,3.9,76.6,"(20000.0, 25000.0]",26.4,15.25,20.85,3.15,10.1,24.2,97.2,0.2,0.1,0.1,0.95,20.05,10.0,17898,0.376,19.6,0.16899999999999998,0.308,0.083,105.5,38.8,0.128,0.062,39.05,,68.1,,50.6,11.3,22.785227522532445
"Boone County, Iowa",Iowa,7.9,92.1,19.6,4.6,78.5,"(25000.0, 30000.0]",30.25,17.0,24.1,1.4,9.05,18.3,96.45,0.7000000000000001,0.15,0.30000000000000004,0.8,19.85,7.85,26264,0.407,28.4,0.22399999999999998,0.32,0.08900000000000001,190.4,58.3,0.095,0.044000000000000004,232.7,,78.7,,38.7,11.25,13.880148741418772
"Montgomery County, Iowa",Iowa,12.3,87.7,17.6,3.3,77.75,"(20000.0, 25000.0]",28.25,18.7,23.75,3.1,9.2,17.0,95.75,0.2,0.30000000000000004,0.30000000000000004,0.75,23.6,6.65,10854,0.414,37.6,0.242,0.322,0.10099999999999999,131.6,,0.105,0.054000000000000006,191.07,,89.9,,36.6,14.05,42.3969587835134
"Brazoria County, Texas",Texas,15.7,84.3,26.1,9.1,77.65,"(30000.0, 40000.0]",38.2,14.05,22.65,0.4,12.5,12.15,55.55,11.05,0.30000000000000004,4.9,1.5,15.35,8.8,302735,0.416,50.0,0.15,0.29,0.094,341.6,122.7,0.214,0.07,193.51,3.91,56.4,5.7,47.3,10.6,24.587683713506692
"Coos County, New Hampshire",New Hampshire,15.2,84.8,16.1,5.5,73.4,"(25000.0, 30000.0]",28.0,20.45,21.25,1.8,11.95,16.5,96.55,0.4,0.30000000000000004,0.5,1.15,20.1,9.7,32636,0.415,28.3,0.215,0.315,0.103,149.9,49.3,0.16699999999999998,0.077,142.67,,92.6,,51.7,11.95,9.117685560937282
"Bear Lake County, Idaho",Idaho,9.6,90.4,16.7,3.7,67.2,"(20000.0, 25000.0]",26.25,19.5,16.75,5.85,16.9,14.7,95.05,0.15,0.6000000000000001,0.2,0.6000000000000001,19.2,11.25,5922,0.381,26.1,0.11,0.266,0.098,200.0,,0.177,0.047,140.88,,109.5,,42.0,13.5,66.53005464480874
"Rock Island County, Illinois",Illinois,13.3,86.7,21.1,7.2,76.7,"(25000.0, 30000.0]",29.65,18.05,25.9,0.30000000000000004,7.6,18.55,77.05,8.3,0.2,1.7000000000000002,1.85,25.15,6.9,147108,0.441,49.5,0.18899999999999997,0.273,0.09300000000000001,475.8,177.7,0.13,0.078,499.79,3.969999999999999,51.1,7.0,53.4,12.45,-8.39910434962124
"Rosebud County, Montana",Montana,11.5,88.5,17.6,5.6,75.85,"(25000.0, 30000.0]",30.25,19.65,18.65,3.05,16.45,11.95,59.65,0.4,33.65,0.45,2.35,33.3,21.65,9192,0.407,66.7,0.21100000000000002,0.327,0.10099999999999999,693.0,,0.242,0.07200000000000001,220.12,15.65,151.2,,47.6,20.8,36.83274021352314
"Grant County, Wisconsin",Wisconsin,11.2,88.8,19.2,7.1,77.85,"(20000.0, 25000.0]",29.8,17.6,22.2,3.25,9.0,18.25,96.5,1.1,0.2,0.65,0.55,14.7,9.95,50088,0.4,16.3,0.172,0.266,0.092,152.3,27.4,0.122,0.057999999999999996,164.26,,58.8,6.6,42.0,13.0,9.563011932975755
"Kerr County, Texas",Texas,13.8,86.2,27.0,9.2,71.75,"(20000.0, 25000.0]",32.05,21.95,24.45,0.65,9.85,10.95,72.9,1.5,0.4,0.7000000000000001,1.1,31.35,6.15,48517,0.451,62.5,0.223,0.278,0.122,245.1,58.7,0.267,0.055,188.42,3.86,86.0,6.9,34.7,13.85,56.271113035946286
"Smyth County, Virginia",Virginia,24.3,75.7,14.6,4.6,72.45,"(25000.0, 30000.0]",29.05,16.2,19.15,1.2,8.75,25.6,95.35,1.8,0.15,0.2,1.05,39.65,11.35,32102,0.462,58.9,0.223,0.314,0.103,181.1,107.6,0.17500000000000002,0.08800000000000001,194.42,4.4,67.9,,21.3,18.35,55.251461988304094
"Salem city, Virginia",Virginia,12.5,87.5,29.1,11.1,82.65,"(25000.0, 30000.0]",33.45,18.5,30.55,0.15,6.1,11.2,88.45,6.85,0.15,1.2,1.45,11.2,5.3,24970,0.44,24.8,0.21100000000000002,0.28300000000000003,0.10800000000000001,348.5,140.0,0.136,0.059,124.48,,64.1,,59.8,8.3,24.84128947151455
"Le Sueur County, Minnesota",Minnesota,11.0,89.0,21.2,5.8,77.3,"(30000.0, 40000.0]",28.8,16.25,22.5,1.25,11.25,20.0,93.0,0.30000000000000004,0.35000000000000003,0.5,0.8,7.5,9.1,27735,0.376,24.0,0.131,0.303,0.07400000000000001,162.7,36.1,0.09699999999999999,0.07100000000000001,85.07,,46.9,,48.4,7.65,30.66523172126185
"Maries County, Missouri",Missouri,20.4,79.6,14.2,5.3,69.8,"(20000.0, 25000.0]",31.9,14.7,21.35,0.9,13.65,17.55,97.4,0.7000000000000001,0.30000000000000004,0.05,0.75,13.95,10.8,9065,0.39399999999999996,42.4,,0.308,0.11199999999999999,98.1,,0.208,0.062,276.39,,93.5,,7.7,13.75,61.471765228990655
